列名,类型,唯一值数量,编码方式,原始值
24、你近半年有没有经常口服或注射某种药物？,分类,2,LabelEncoder,"['没有', '有']"
25、你所口服或注射的药物是？,分类,14,LabelEncoder,14个值
26、你第一次来月经的年龄是？,分类,12,LabelEncoder,12个值
27、第一个孩子出生时年龄是多少？,分类,16,LabelEncoder,16个值
28、你的月经是否规律？,分类,4,LabelEncoder,"['(跳过)', '规律', '已绝经', '不规律']"
29、你的绝经年龄是多少岁？,分类,9,LabelEncoder,"['(跳过)', '50', '42', '40', '54', '49', '46', '53', '55']"
30、焦虑状况。—我觉得比平时容易紧张和着急。,分类,4,LabelEncoder,"['有时有', '没有或很少', '绝大部分时间或全部时间有', '大部分时间有']"
30、我无缘无故的感到害怕。,分类,4,LabelEncoder,"['没有或很少', '有时有', '绝大部分时间或全部时间有', '大部分时间有']"
30、我容易心里烦乱，或觉得惊恐。,分类,4,LabelEncoder,"['有时有', '没有或很少', '大部分时间有', '绝大部分时间或全部时间有']"
30、我觉得我可能将要发疯。,分类,4,LabelEncoder,"['没有或很少', '有时有', '大部分时间有', '绝大部分时间或全部时间有']"
30、我觉得一切都很好，也不会发生什么不幸。,分类,4,LabelEncoder,"['没有或很少', '大部分时间有', '有时有', '绝大部分时间或全部时间有']"
30、我手脚发抖，打颤。,分类,4,LabelEncoder,"['没有或很少', '有时有', '大部分时间有', '绝大部分时间或全部时间有']"
30、我因为头疼，颈痛和背痛而苦恼。,分类,4,LabelEncoder,"['没有或很少', '有时有', '大部分时间有', '绝大部分时间或全部时间有']"
30、我感觉容易衰弱或疲倦。,分类,4,LabelEncoder,"['没有或很少', '大部分时间有', '有时有', '绝大部分时间或全部时间有']"
30、我觉得心跳很快。,分类,4,LabelEncoder,"['没有或很少', '有时有', '绝大部分时间或全部时间有', '大部分时间有']"
30、我觉得心平气和，并且容易安静坐着。,分类,4,LabelEncoder,"['没有或很少', '有时有', '大部分时间有', '绝大部分时间或全部时间有']"
30、因为一阵阵头晕而苦恼。,分类,4,LabelEncoder,"['没有或很少', '有时有', '大部分时间有', '绝大部分时间或全部时间有']"
30、我呼气，吸气都感到很容易。,分类,4,LabelEncoder,"['没有或很少', '大部分时间有', '有时有', '绝大部分时间或全部时间有']"
30、我手脚麻木和刺痛。,分类,4,LabelEncoder,"['没有或很少', '有时有', '大部分时间有', '绝大部分时间或全部时间有']"
30、我因为胃痛和消化不良而苦恼。,分类,4,LabelEncoder,"['没有或很少', '有时有', '大部分时间有', '绝大部分时间或全部时间有']"
30、我常常要小便。,分类,4,LabelEncoder,"['没有或很少', '有时有', '绝大部分时间或全部时间有', '大部分时间有']"
30、我的手常常是干燥温暖的。,分类,4,LabelEncoder,"['有时有', '大部分时间有', '绝大部分时间或全部时间有', '没有或很少']"
30、我脸红，发热。,分类,4,LabelEncoder,"['没有或很少', '有时有', '大部分时间有', '绝大部分时间或全部时间有']"
30、我容易入睡，并且一夜睡得很好。,分类,4,LabelEncoder,"['没有或很少', '绝大部分时间或全部时间有', '大部分时间有', '有时有']"
30、我做噩梦。,分类,4,LabelEncoder,"['没有或很少', '有时有', '绝大部分时间或全部时间有', '大部分时间有']"
30、我有晕倒发作，或觉得要晕倒似的。,分类,4,LabelEncoder,"['没有或很少', '有时有', '大部分时间有', '绝大部分时间或全部时间有']"
31、近一个月因下列情况影响睡眠而烦恼。—入睡困难，30分钟内不能入睡。,分类,4,LabelEncoder,"['小于1次/周', '无', '1-2次/周', '大于等于3次/周']"
31、夜间夜醒或早醒。,分类,4,LabelEncoder,"['小于1次/周', '无', '1-2次/周', '大于等于3次/周']"
31、夜间去厕所,分类,4,LabelEncoder,"['1-2次/周', '小于1次/周', '无', '大于等于3次/周']"
31、呼吸不畅。,分类,4,LabelEncoder,"['无', '小于1次/周', '1-2次/周', '大于等于3次/周']"
31、咳嗽或鼾声高。,分类,4,LabelEncoder,"['小于1次/周', '无', '大于等于3次/周', '1-2次/周']"
31、感觉冷。,分类,4,LabelEncoder,"['小于1次/周', '无', '1-2次/周', '大于等于3次/周']"
31、感觉热。,分类,4,LabelEncoder,"['小于1次/周', '无', '1-2次/周', '大于等于3次/周']"
31、做噩梦。,分类,4,LabelEncoder,"['无', '小于1次/周', '1-2次/周', '大于等于3次/周']"
31、疼痛不适。,分类,4,LabelEncoder,"['无', '大于等于3次/周', '小于1次/周', '1-2次/周']"
31、其他影响睡眠的事。,分类,4,LabelEncoder,"['无', '小于1次/周', '大于等于3次/周', '1-2次/周']"
32、近一个月，总的来说，你认为自己的睡眠质量？,分类,4,LabelEncoder,"['较好', '很好', '较差', '很差']"
33、近一个月你用药物催眠的情况？,分类,4,LabelEncoder,"['无', '1-2次/周', '<1次/周', '>2次/周']"
34、近一个月你常感到困倦吗？,分类,4,LabelEncoder,"['<1次/周', '>2次/周', '无', '1-2次/周']"
35、近一个月，你做事情的精力不足吗？,分类,3,LabelEncoder,"['偶尔有', '有时有', '没有']"
36、近一个月，晚上上床时间通常点钟？,分类,31,LabelEncoder,31个值
37、近一个月从上床到睡觉通常需要多少分钟？,分类,107,LabelEncoder,107个值
38、近一个月通常早上几点钟起床？,分类,28,LabelEncoder,28个值
39、近一个月每天通常实际睡眠几个小时？,分类,20,LabelEncoder,20个值
40、你的父母是否汉中本地人,分类,4,LabelEncoder,"['父母都是汉中本地人', '父母都不是汉中本地人', '父亲是汉中本地人、母亲不是。', '母亲是汉中本地人、父亲不是。']"
41、你的母亲是否患有或患过下列疾病？—高血压。,分类,5,LabelEncoder,"['未患病。', '不清楚。', '患病。┋未患病。', '患病。', '未患病。┋不清楚。']"
41、糖尿病。,分类,3,LabelEncoder,"['患病。', '不清楚。', '未患病。']"
41、冠心病。,分类,4,LabelEncoder,"['未患病。', '不清楚。', '患病。', '未患病。┋不清楚。']"
41、痛风。,分类,4,LabelEncoder,"['未患病。', '不清楚。', '患病。', '未患病。┋不清楚。']"
41、中风。,分类,3,LabelEncoder,"['未患病。', '不清楚。', '患病。']"
41、恶性肿瘤。,分类,3,LabelEncoder,"['未患病。', '不清楚。', '患病。']"
41、胆囊炎。,分类,4,LabelEncoder,"['不清楚。', '患病。', '未患病。', '患病。┋不清楚。']"
41、胆囊结石。,分类,4,LabelEncoder,"['患病。', '不清楚。', '未患病。', '患病。┋未患病。']"
41、高血脂,分类,3,LabelEncoder,"['未患病。', '不清楚。', '患病。']"
41、高胆固醇,分类,3,LabelEncoder,"['未患病。', '不清楚。', '患病。']"
41、幽门螺旋杆菌感染,分类,3,LabelEncoder,"['未患病。', '不清楚。', '患病。']"
42、你的父亲是否患有或患过下列疾病？—高血压。,分类,3,LabelEncoder,"['患病。', '不清楚。', '未患病。']"
42、糖尿病。,分类,3,LabelEncoder,"['未患病。', '不清楚。', '患病。']"
42、冠心病。,分类,3,LabelEncoder,"['未患病。', '不清楚。', '患病。']"
42、痛风。,分类,3,LabelEncoder,"['未患病。', '不清楚。', '患病。']"
42、脑梗。,分类,3,LabelEncoder,"['未患病。', '不清楚。', '患病。']"
42、恶性肿瘤。,分类,3,LabelEncoder,"['未患病。', '不清楚。', '患病。']"
42、胆囊炎。,分类,3,LabelEncoder,"['未患病。', '不清楚。', '患病。']"
42、胆囊结石。,分类,4,LabelEncoder,"['未患病。', '不清楚。', '患病。┋未患病。', '患病。']"
42、幽门螺旋杆菌感染,分类,3,LabelEncoder,"['未患病。', '不清楚。', '患病。']"
42、高脂血症,分类,3,LabelEncoder,"['未患病。', '不清楚。', '患病。']"
42、高胆固醇血症,分类,3,LabelEncoder,"['未患病。', '不清楚。', '患病。']"
43、你是否患有一下疾病,分类,100,LabelEncoder,100个值
44、你的高密度脂蛋白数值是多少？（不清楚则填0）,分类,4,LabelEncoder,"['0', '9', '1.99', '无']"
45、你的低密度脂蛋白数值是多少？（不清楚则填0）,分类,3,LabelEncoder,"['0', '不清楚', '无']"
46、你的甘油三酯数值是多少？（不清楚则填0）,分类,7,LabelEncoder,"['0', '2', '1.97', '3.2', '4', '2.43', '无']"
47、你的胆固醇数值是多少？（不清楚则填0）,分类,4,LabelEncoder,"['0', '5', '4.81', '无']"
48、调味品使用情况（单位：匙）—酱油。,分类,9,LabelEncoder,"['2-3/天', '>=6/天', '1/天', '2-4/周', '5-6/周', '1/周', '不吃或<1/月', '1-3/月', '4-5/天']"
48、醋,分类,9,LabelEncoder,"['2-3/天', '1-3/月', '1/天', '1/周', '>=6/天', '4-5/天', '2-4/周', '5-6/周', '不吃或<1/月']"
48、豆瓣酱。,分类,9,LabelEncoder,"['1/周', '2-4/周', '1-3/月', '不吃或<1/月', '2-3/天', '1/天', '>=6/天', '5-6/周', '4-5/天']"
48、花生酱。,分类,9,LabelEncoder,"['1/周', '不吃或<1/月', '1-3/月', '2-4/周', '>=6/天', '1/天', '4-5/天', '5-6/周', '2-3/天']"
48、番茄酱。,分类,9,LabelEncoder,"['不吃或<1/月', '1-3/月', '1/周', '2-4/周', '1/天', '2-3/天', '4-5/天', '>=6/天', '5-6/周']"
48、沙拉酱。,分类,9,LabelEncoder,"['不吃或<1/月', '1/周', '1-3/月', '2-4/周', '1/天', '>=6/天', '4-5/天', '2-3/天', '5-6/周']"
48、白/红糖,分类,9,LabelEncoder,"['1/周', '2-4/周', '不吃或<1/月', '1-3/月', '5-6/周', '1/天', '>=6/天', '4-5/天', '2-3/天']"
49、你觉得自己口味如何？,分类,3,LabelEncoder,"['清淡', '适中', '较重']"
50、摄入食品调查—饼干一小袋。,分类,9,LabelEncoder,"['不吃或<1/月', '1-3/月', '2-4/周', '1/周', '1/天', '>=6/天', '4-5/天', '2-3/天', '5-6/周']"
50、蛋糕一块。,分类,9,LabelEncoder,"['不吃或<1/月', '1-3/月', '1/天', '1/周', '2-4/周', '>=6/天', '4-5/天', '5-6/周', '2-3/天']"
50、奶糖，水果糖两块。,分类,9,LabelEncoder,"['不吃或<1/月', '1-3/月', '1/天', '1/周', '2-4/周', '>=6/天', '4-5/天', '2-3/天', '5-6/周']"
50、巧克力一块。,分类,9,LabelEncoder,"['不吃或<1/月', '1-3/月', '1/天', '1/周', '2-4/周', '>=6/天', '2-3/天', '5-6/周', '4-5/天']"
50、切面包一片。,分类,9,LabelEncoder,"['1/周', '1-3/月', '不吃或<1/月', '2-4/周', '5-6/周', '1/天', '4-5/天', '2-3/天', '>=6/天']"
50、中式点心，绿豆糕等一块。,分类,9,LabelEncoder,"['1-3/月', '不吃或<1/月', '1/周', '2-4/周', '1/天', '>=6/天', '4-5/天', '2-3/天', '5-6/周']"
50、含咖啡因的糖和碳酸饮料。（如可口可乐，雪碧。330毫升）,分类,9,LabelEncoder,"['1/周', '1-3/月', '不吃或<1/月', '2-4/周', '1/天', '4-5/天', '>=6/天', '2-3/天', '5-6/周']"
50、含咖啡和糖的非碳酸饮料。（如雀巢咖啡一瓶330毫升。）,分类,9,LabelEncoder,"['1-3/月', '不吃或<1/月', '1/天', '1/周', '5-6/周', '2-4/周', '4-5/天', '2-3/天', '>=6/天']"
50、其他含糖饮料。（七喜、果啤、冰峰一瓶330毫升。）,分类,9,LabelEncoder,"['1/周', '1-3/月', '不吃或<1/月', '5-6/周', '2-4/周', '1/天', '4-5/天', '2-3/天', '>=6/天']"
50、含咖啡因的低糖饮料 （无糖可乐、一瓶330毫升。）,分类,9,LabelEncoder,"['1-3/月', '不吃或<1/月', '1/周', '2-4/周', '1/天', '>=6/天', '2-3/天', '4-5/天', '5-6/周']"
50、水。（一杯500毫升。）,分类,9,LabelEncoder,"['4-5/天', '>=6/天', '2-4/周', '2-3/天', '1-3/月', '1/天', '5-6/周', '1/周', '不吃或<1/月']"
50、橙汁 （一杯250毫升。）,分类,9,LabelEncoder,"['1-3/月', '不吃或<1/月', '2-4/周', '1/周', '1/天', '4-5/天', '2-3/天', '5-6/周', '>=6/天']"
50、奶茶，（一中杯。）,分类,9,LabelEncoder,"['1-3/月', '不吃或<1/月', '1/周', '2-4/周', '1/天', '>=6/天', '4-5/天', '5-6/周', '2-3/天']"
50、咖啡粉，（如雀巢一袋。）,分类,9,LabelEncoder,"['不吃或<1/月', '1-3/月', '1/周', '5-6/周', '2-4/周', '1/天', '4-5/天', '2-3/天', '>=6/天']"
50、纯奶 （一盒250毫升。）,分类,9,LabelEncoder,"['1/周', '1-3/月', '不吃或<1/月', '2-4/周', '5-6/周', '1/天', '2-3/天', '4-5/天', '>=6/天']"
50、奶粉 （一大匙。）,分类,9,LabelEncoder,"['不吃或<1/月', '5-6/周', '2-4/周', '1-3/月', '1/周', '1/天', '>=6/天', '4-5/天', '2-3/天']"
50、酸奶 （一盒。）,分类,9,LabelEncoder,"['1-3/月', '不吃或<1/月', '1/周', '2-4/周', '5-6/周', '2-3/天', '1/天', '>=6/天', '4-5/天']"
50、鸡蛋 （一个。）,分类,9,LabelEncoder,"['2-4/周', '4-5/天', '1-3/月', '>=6/天', '2-3/天', '5-6/周', '1/天', '不吃或<1/月', '1/周']"
50、瘦鲜猪肉，（一份。）,分类,9,LabelEncoder,"['1/天', '5-6/周', '>=6/天', '2-4/周', '4-5/天', '1/周', '1-3/月', '不吃或<1/月', '2-3/天']"
50、牛肉 （一份。）,分类,9,LabelEncoder,"['不吃或<1/月', '1-3/月', '2-3/天', '1/周', '1/天', '2-4/周', '4-5/天', '>=6/天', '5-6/周']"
50、羊肉 （一份。）,分类,9,LabelEncoder,"['1-3/月', '不吃或<1/月', '2-3/天', '1/周', '2-4/周', '4-5/天', '5-6/周', '>=6/天', '1/天']"
50、鸡肉，鸭肉 （一份。）,分类,9,LabelEncoder,"['1-3/月', '4-5/天', '1/周', '不吃或<1/月', '2-3/天', '5-6/周', '2-4/周', '1/天', '>=6/天']"
50、淡水鱼 （一块。）,分类,9,LabelEncoder,"['1-3/月', '1/天', '1/周', '不吃或<1/月', '2-4/周', '4-5/天', '5-6/周', '>=6/天', '2-3/天']"
50、海水鱼。（一块。）,分类,9,LabelEncoder,"['1-3/月', '不吃或<1/月', '1/周', '2-4/周', '1/天', '5-6/周', '4-5/天', '>=6/天', '2-3/天']"
50、虾。（一份四只。）,分类,9,LabelEncoder,"['1-3/月', '1/周', '不吃或<1/月', '1/天', '2-4/周', '>=6/天', '4-5/天', '2-3/天', '5-6/周']"
50、腌制肉,分类,9,LabelEncoder,"['1-3/月', '5-6/周', '不吃或<1/月', '2-4/周', '1/周', '1/天', '>=6/天', '4-5/天', '2-3/天']"
50、腊肉,分类,9,LabelEncoder,"['1-3/月', '2-3/天', '不吃或<1/月', '1/周', '2-4/周', '1/天', '>=6/天', '5-6/周', '4-5/天']"
50、香肠、腊肠、火腿肠等。,分类,9,LabelEncoder,"['1-3/月', '5-6/周', '2-4/周', '不吃或<1/月', '4-5/天', '1/周', '1/天', '>=6/天', '2-3/天']"
50、动物内脏，（如两小段猪大肠。）,分类,9,LabelEncoder,"['1-3/月', '不吃或<1/月', '1/周', '2-3/天', '2-4/周', '>=6/天', '4-5/天', '5-6/周', '1/天']"
50、花生。（一份。）,分类,9,LabelEncoder,"['1-3/月', '不吃或<1/月', '1/周', '2-4/周', '5-6/周', '4-5/天', '>=6/天', '1/天', '2-3/天']"
50、核桃，（一份三个。）,分类,9,LabelEncoder,"['1-3/月', '不吃或<1/月', '5-6/周', '1/周', '1/天', '2-4/周', '4-5/天', '>=6/天', '2-3/天']"
50、瓜子。（一把。）,分类,9,LabelEncoder,"['1-3/月', '1/周', '不吃或<1/月', '2-4/周', '5-6/周', '4-5/天', '2-3/天', '1/天', '>=6/天']"
50、梨,分类,9,LabelEncoder,"['2-4/周', '1/周', '不吃或<1/月', '1-3/月', '5-6/周', '1/天', '4-5/天', '2-3/天', '>=6/天']"
50、苹果。,分类,9,LabelEncoder,"['2-4/周', '1/周', '不吃或<1/月', '1-3/月', '5-6/周', '2-3/天', '1/天', '>=6/天', '4-5/天']"
50、桃子。,分类,9,LabelEncoder,"['2-4/周', '1-3/月', '1/周', '不吃或<1/月', '1/天', '4-5/天', '2-3/天', '5-6/周', '>=6/天']"
50、李子。,分类,9,LabelEncoder,"['2-4/周', '1-3/月', '不吃或<1/月', '1/周', '1/天', '5-6/周', '4-5/天', '>=6/天', '2-3/天']"
50、橙子。,分类,9,LabelEncoder,"['2-4/周', '4-5/天', '不吃或<1/月', '1-3/月', '2-3/天', '1/周', '1/天', '>=6/天', '5-6/周']"
50、桔子或柑橘。,分类,9,LabelEncoder,"['2-4/周', '4-5/天', '1/周', '1-3/月', '2-3/天', '1/天', '不吃或<1/月', '>=6/天', '5-6/周']"
50、柚子。,分类,9,LabelEncoder,"['2-4/周', '5-6/周', '不吃或<1/月', '1/周', '2-3/天', '1-3/月', '1/天', '>=6/天', '4-5/天']"
50、芒果。,分类,9,LabelEncoder,"['2-4/周', '1-3/月', '不吃或<1/月', '1/周', '4-5/天', '>=6/天', '2-3/天', '1/天', '5-6/周']"
50、柿子。,分类,9,LabelEncoder,"['不吃或<1/月', '1-3/月', '2-4/周', '1/周', '>=6/天', '4-5/天', '1/天', '2-3/天', '5-6/周']"
50、木瓜。,分类,9,LabelEncoder,"['不吃或<1/月', '1-3/月', '1/周', '>=6/天', '2-4/周', '4-5/天', '2-3/天', '1/天', '5-6/周']"
50、香蕉。,分类,9,LabelEncoder,"['1/周', '不吃或<1/月', '2-4/周', '1-3/月', '4-5/天', '2-3/天', '5-6/周', '1/天', '>=6/天']"
50、西瓜或香瓜，或甜瓜。,分类,9,LabelEncoder,"['1/周', '不吃或<1/月', '2-4/周', '1-3/月', '5-6/周', '4-5/天', '2-3/天', '1/天', '>=6/天']"
50、哈密瓜。,分类,9,LabelEncoder,"['1-3/月', '不吃或<1/月', '1/周', '2-4/周', '4-5/天', '2-3/天', '5-6/周', '>=6/天', '1/天']"
50、菠萝。,分类,9,LabelEncoder,"['1-3/月', '不吃或<1/月', '1/周', '2-3/天', '2-4/周', '>=6/天', '4-5/天', '1/天', '5-6/周']"
50、圣女果，（一份五个。）,分类,9,LabelEncoder,"['1-3/月', '1/周', '不吃或<1/月', '1/天', '2-4/周', '5-6/周', '4-5/天', '>=6/天', '2-3/天']"
50、干枣。（一份三个。）,分类,9,LabelEncoder,"['1-3/月', '1/天', '不吃或<1/月', '1/周', '2-4/周', '5-6/周', '2-3/天', '>=6/天', '4-5/天']"
50、葡萄一小串。,分类,9,LabelEncoder,"['1-3/月', '不吃或<1/月', '1/周', '2-4/周', '5-6/周', '4-5/天', '2-3/天', '1/天', '>=6/天']"
50、樱桃。（一豆浆杯那么大。）,分类,9,LabelEncoder,"['1-3/月', '不吃或<1/月', '2-4/周', '1/周', '4-5/天', '>=6/天', '2-3/天', '5-6/周', '1/天']"
50、草莓。（一豆浆杯那么大。）,分类,9,LabelEncoder,"['1-3/月', '不吃或<1/月', '1/周', '2-4/周', '>=6/天', '2-3/天', '1/天', '4-5/天', '5-6/周']"
50、平菇，香菇，蘑菇，冬菇，金针菇。,分类,9,LabelEncoder,"['2-4/周', '不吃或<1/月', '1-3/月', '1/周', '4-5/天', '1/天', '>=6/天', '5-6/周', '2-3/天']"
50、木耳。（泡。）,分类,9,LabelEncoder,"['1/周', '1-3/月', '4-5/天', '1/天', '2-4/周', '2-3/天', '不吃或<1/月', '>=6/天', '5-6/周']"
50、海带 （泡。）,分类,9,LabelEncoder,"['不吃或<1/月', '1-3/月', '1/周', '4-5/天', '1/天', '2-4/周', '2-3/天', '5-6/周', '>=6/天']"
50、紫菜。 （干。）,分类,9,LabelEncoder,"['不吃或<1/月', '1-3/月', '1/周', '2-4/周', '2-3/天', '4-5/天', '>=6/天', '5-6/周', '1/天']"
50、豆角，豇豆，四季豆。,分类,9,LabelEncoder,"['1/周', '1-3/月', '2-4/周', '2-3/天', '不吃或<1/月', '5-6/周', '4-5/天', '>=6/天', '1/天']"
50、豆芽。,分类,9,LabelEncoder,"['1/周', '1-3/月', '不吃或<1/月', '2-4/周', '2-3/天', '4-5/天', '>=6/天', '5-6/周', '1/天']"
50、黄豆，黑豆。,分类,9,LabelEncoder,"['1-3/月', '1/周', '2-3/天', '不吃或<1/月', '2-4/周', '4-5/天', '>=6/天', '1/天', '5-6/周']"
50、绿豆，红豆，蚕豆。（一把。）,分类,9,LabelEncoder,"['1-3/月', '1/周', '不吃或<1/月', '2-3/天', '2-4/周', '4-5/天', '5-6/周', '>=6/天', '1/天']"
50、浆水点的豆腐。,分类,9,LabelEncoder,"['1/周', '不吃或<1/月', '1-3/月', '2-4/周', '4-5/天', '2-3/天', '>=6/天', '5-6/周', '1/天']"
50、石膏点的豆腐。,分类,9,LabelEncoder,"['1/周', '1-3/月', '2-3/天', '不吃或<1/月', '2-4/周', '4-5/天', '5-6/周', '>=6/天', '1/天']"
50、豆腐丝，豆腐皮，豆腐干，腐竹。,分类,9,LabelEncoder,"['1/周', '2-4/周', '1-3/月', '不吃或<1/月', '2-3/天', '1/天', '4-5/天', '>=6/天', '5-6/周']"
50、豆浆。（一杯。）,分类,9,LabelEncoder,"['1/周', '1-3/月', '不吃或<1/月', '2-3/天', '2-4/周', '5-6/周', '1/天', '>=6/天', '4-5/天']"
50、洋葱，大葱，小葱。,分类,9,LabelEncoder,"['1/周', '1/天', '>=6/天', '1-3/月', '2-3/天', '不吃或<1/月', '2-4/周', '5-6/周', '4-5/天']"
50、大蒜，蒜苔。,分类,9,LabelEncoder,"['1/周', '2-3/天', '1-3/月', '>=6/天', '1/天', '2-4/周', '4-5/天', '不吃或<1/月', '5-6/周']"
50、榨菜，腌菜，咸菜，江水菜。,分类,9,LabelEncoder,"['1/周', '不吃或<1/月', '1-3/月', '2-4/周', '5-6/周', '1/天', '4-5/天', '>=6/天', '2-3/天']"
50、韭菜。,分类,9,LabelEncoder,"['1/周', '不吃或<1/月', '1-3/月', '2-4/周', '4-5/天', '>=6/天', '2-3/天', '1/天', '5-6/周']"
50、菠菜。,分类,9,LabelEncoder,"['1/周', '不吃或<1/月', '1-3/月', '2-4/周', '4-5/天', '5-6/周', '>=6/天', '2-3/天', '1/天']"
50、油菜。,分类,9,LabelEncoder,"['1/周', '1-3/月', '2-4/周', '不吃或<1/月', '2-3/天', '>=6/天', '4-5/天', '5-6/周', '1/天']"
50、大白菜。,分类,9,LabelEncoder,"['1/周', '2-4/周', '1-3/月', '4-5/天', '1/天', '不吃或<1/月', '2-3/天', '5-6/周', '>=6/天']"
50、小青菜。,分类,9,LabelEncoder,"['1/周', '1-3/月', '2-4/周', '2-3/天', '1/天', '不吃或<1/月', '4-5/天', '>=6/天', '5-6/周']"
50、茼蒿。,分类,9,LabelEncoder,"['1/周', '1-3/月', '不吃或<1/月', '2-4/周', '2-3/天', '5-6/周', '4-5/天', '>=6/天', '1/天']"
50、莴笋叶，生菜。,分类,9,LabelEncoder,"['1/周', '1-3/月', '2-4/周', '不吃或<1/月', '1/天', '4-5/天', '>=6/天', '2-3/天', '5-6/周']"
50、芹菜。,分类,9,LabelEncoder,"['1/周', '1-3/月', '2-4/周', '4-5/天', '5-6/周', '不吃或<1/月', '>=6/天', '2-3/天', '1/天']"
50、高笋。,分类,9,LabelEncoder,"['1/周', '1-3/月', '不吃或<1/月', '2-4/周', '4-5/天', '1/天', '5-6/周', '2-3/天', '>=6/天']"
50、竹笋。,分类,9,LabelEncoder,"['1/周', '1-3/月', '2-4/周', '4-5/天', '不吃或<1/月', '>=6/天', '2-3/天', '5-6/周', '1/天']"
50、卷心菜。,分类,9,LabelEncoder,"['1/周', '1-3/月', '不吃或<1/月', '2-4/周', '4-5/天', '>=6/天', '2-3/天', '5-6/周', '1/天']"
50、紫甘蓝。,分类,9,LabelEncoder,"['1/周', '1-3/月', '不吃或<1/月', '4-5/天', '2-4/周', '>=6/天', '2-3/天', '5-6/周', '1/天']"
50、菜花。,分类,9,LabelEncoder,"['1/周', '5-6/周', '1-3/月', '2-4/周', '不吃或<1/月', '4-5/天', '2-3/天', '1/天', '>=6/天']"
50、西兰花，空心菜。,分类,9,LabelEncoder,"['1/周', '1-3/月', '2-4/周', '不吃或<1/月', '4-5/天', '5-6/周', '>=6/天', '1/天', '2-3/天']"
50、西红柿。（一个。）,分类,9,LabelEncoder,"['1/周', '5-6/周', '2-4/周', '1-3/月', '2-3/天', '4-5/天', '不吃或<1/月', '1/天', '>=6/天']"
50、白萝卜，水萝卜。,分类,9,LabelEncoder,"['1/周', '1-3/月', '2-4/周', '2-3/天', '不吃或<1/月', '1/天', '5-6/周', '4-5/天', '>=6/天']"
50、胡萝卜。,分类,9,LabelEncoder,"['1/周', '1-3/月', '2-4/周', '1/天', '不吃或<1/月', '5-6/周', '4-5/天', '>=6/天', '2-3/天']"
50、土豆，山药。（一个/份。）,分类,9,LabelEncoder,"['1/周', '2-4/周', '5-6/周', '2-3/天', '不吃或<1/月', '1-3/月', '4-5/天', '1/天', '>=6/天']"
50、红薯。（一个。）,分类,9,LabelEncoder,"['1/周', '1-3/月', '不吃或<1/月', '2-4/周', '2-3/天', '4-5/天', '5-6/周', '>=6/天', '1/天']"
50、黄瓜，茄子，苦瓜，丝瓜。（一根。）,分类,9,LabelEncoder,"['1/周', '2-4/周', '1-3/月', '不吃或<1/月', '2-3/天', '4-5/天', '>=6/天', '5-6/周', '1/天']"
