排名,特征,检验方法,卡方值,P值,自由度,Cramer's V,效应量,显著性
106,6、你的体重是多少Kg,卡方检验（期望频数较低）,47.25990059323392,0.4619364497374826,47,inf,大,不显著
107,30、我因为头疼，颈痛和背痛而苦恼。,卡方检验,2.5699077798545873,0.46278954121053706,3,inf,大,不显著
108,50、黄豆，黑豆。,卡方检验（期望频数较低）,7.7048581704901,0.46281845844412317,8,inf,大,不显著
109,41、幽门螺旋杆菌感染,卡方检验,1.5240120503278378,0.4667292167369914,2,inf,大,不显著
110,50、西葫芦。,卡方检验（期望频数较低）,7.556760077768481,0.47791804092222323,8,inf,大,不显著
111,43、你是否患有一下疾病,卡方检验（期望频数较低）,98.8472386199659,0.485423910074381,99,inf,大,不显著
112,28、你的月经是否规律？,卡方检验,2.443079147624603,0.48566583338893077,3,inf,大,不显著
113,50、土豆，山药。（一个/份。）,卡方检验（期望频数较低）,7.432445700843968,0.49077243196296005,8,inf,大,不显著
114,50、油菜。,卡方检验（期望频数较低）,7.4184507031719775,0.4922294128886455,8,inf,大,不显著
115,14、您家中食用水是否使用净水器,卡方检验,0.4662004662004662,0.4947403445331602,1,inf,大,不显著
116,57、过去一年，你平均每天抽烟多少根？是否已戒烟？,卡方检验（期望频数较低）,32.35209235209235,0.49918955428146716,33,inf,大,不显著
117,50、核桃馍,卡方检验（期望频数较低）,7.279942183938033,0.5067522254646287,8,inf,大,不显著
118,30、焦虑状况。—我觉得比平时容易紧张和着急。,卡方检验,2.3204243297598453,0.508619443776416,3,inf,大,不显著
119,16、您家中一壶食用油食用多久？（5升一壶）,卡方检验,3.2731221671313837,0.5132020583595007,4,inf,大,不显著
120,50、紫菜。 （干。）,卡方检验（期望频数较低）,7.214093096446037,0.5137198172174162,8,inf,大,不显著
121,50、平菇，香菇，蘑菇，冬菇，金针菇。,卡方检验（期望频数较低）,7.209119558846334,0.5142476662942077,8,inf,大,不显著
122,29、你的绝经年龄是多少岁？,卡方检验（期望频数较低）,7.204318315429426,0.5147574384280662,8,inf,大,不显著
123,48、沙拉酱。,卡方检验（期望频数较低）,7.157130534558062,0.5197783957786811,8,inf,大,不显著
124,50、大蒜，蒜苔。,卡方检验（期望频数较低）,7.155186123841331,0.519985704013914,8,inf,大,不显著
125,62、近一个月，你平均每周熬夜超过凌晨12点睡觉几次？,卡方检验（期望频数较低）,24.968200523756078,0.5207758669652609,26,inf,大,不显著
126,50、羊肉 （一份。）,卡方检验（期望频数较低）,7.003181449500217,0.5362894516487182,8,inf,大,不显著
127,50、海带 （泡。）,卡方检验（期望频数较低）,6.976988153458742,0.5391175071167709,8,inf,大,不显著
128,31、感觉冷。,卡方检验,2.123192711428005,0.5472349886220422,3,inf,大,不显著
129,50、西兰花，空心菜。,卡方检验（期望频数较低）,6.823126463598985,0.555830867571704,8,inf,大,不显著
130,50、花生。（一份。）,卡方检验（期望频数较低）,6.796614034777591,0.5587272071605573,8,inf,大,不显著
131,41、高胆固醇,卡方检验（期望频数较低）,1.1613526765041924,0.5595198139120579,2,inf,大,不显著
132,67、您的收入？,卡方检验（期望频数较低）,2.048307538503617,0.5624410719657669,3,inf,大,不显著
133,30、我容易心里烦乱，或觉得惊恐。,卡方检验,2.024313135424248,0.5673757889027105,3,inf,大,不显著
134,34、近一个月你常感到困倦吗？,卡方检验,2.0226472531654083,0.5677195135726811,3,inf,大,不显著
135,41、糖尿病。,卡方检验,1.1263427930094592,0.5694004029266405,2,inf,大,不显著
136,50、石膏点的豆腐。,卡方检验（期望频数较低）,6.675177987234727,0.5720490538016499,8,inf,大,不显著
137,50、摄入食品调查—饼干一小袋。,卡方检验（期望频数较低）,6.641538226904084,0.5757544758341995,8,inf,大,不显著
138,50、含咖啡因的糖和碳酸饮料。（如可口可乐，雪碧。330毫升）,卡方检验（期望频数较低）,6.583501740734445,0.5821612047508792,8,inf,大,不显著
139,25、你所口服或注射的药物是？,卡方检验（期望频数较低）,11.328003966040775,0.5833604287893399,13,inf,大,不显著
140,5、您的身高是多少厘米？,卡方检验（期望频数较低）,33.56916932674508,0.5847546048844524,36,inf,大,不显著
141,50、西红柿。（一个。）,卡方检验（期望频数较低）,6.513689048650203,0.5898896509913374,8,inf,大,不显著
142,50、豆浆。（一杯。）,卡方检验（期望频数较低）,6.453815544724635,0.5965348688718701,8,inf,大,不显著
143,51、有便意时腹部绞痛。,卡方检验,1.8816738816738803,0.5973250417920215,3,inf,大,不显著
144,31、呼吸不畅。,卡方检验,1.8813679317881005,0.597390392126024,3,inf,大,不显著
145,30、我觉得心平气和，并且容易安静坐着。,卡方检验,1.8543005815733096,0.6031904020430015,3,inf,大,不显著
146,41、高血脂,卡方检验,0.9960235084613184,0.6077377913703268,2,inf,大,不显著
147,42、恶性肿瘤。,卡方检验（期望频数较低）,0.9622667425387051,0.6180824777608647,2,inf,大,不显著
148,50、咖啡粉，（如雀巢一袋。）,卡方检验（期望频数较低）,6.212932761468969,0.6233937200458185,8,inf,大,不显著
149,50、馒头，花卷，包子，饼。（一个。）,卡方检验,6.192457178411845,0.6256835731812156,8,inf,大,不显著
150,42、胆囊结石。,卡方检验（期望频数较低）,1.739154631716615,0.6282641945340264,3,inf,大,不显著
151,50、浆水点的豆腐。,卡方检验（期望频数较低）,6.103986204693197,0.635584994329834,8,inf,大,不显著
152,15、你的家庭长期几口人一起生活？,卡方检验（期望频数较低）,5.187292501625766,0.6371188797315943,7,inf,大,不显著
153,50、紫甘蓝。,卡方检验（期望频数较低）,6.059662182299572,0.640548805967322,8,inf,大,不显著
154,50、白萝卜，水萝卜。,卡方检验（期望频数较低）,5.904995161288069,0.6578730720247807,8,inf,大,不显著
155,54、最长排便时段为？选一个或两个。,卡方检验（期望频数较低）,34.69845081966294,0.6663728406785971,39,inf,大,不显著
156,50、卷心菜。,卡方检验（期望频数较低）,5.79474691273034,0.6702108440311638,8,inf,大,不显著
157,50、菠萝。,卡方检验（期望频数较低）,5.78812486120864,0.6709512768948273,8,inf,大,不显著
158,50、豆芽。,卡方检验（期望频数较低）,5.7868899617580265,0.6710893451307836,8,inf,大,不显著
159,30、我无缘无故的感到害怕。,卡方检验,1.5401538045434304,0.6730343376350403,3,inf,大,不显著
160,50、柚子。,卡方检验（期望频数较低）,5.7554747241299316,0.6746006260819033,8,inf,大,不显著
161,50、核桃，（一份三个。）,卡方检验（期望频数较低）,5.745491590899728,0.6757159651805114,8,inf,大,不显著
162,21、火锅锅底常选择？,卡方检验,0.1719799472608468,0.6783581274359802,1,inf,大,不显著
163,42、胆囊炎。,卡方检验,0.776019458254654,0.6784057429361441,2,inf,大,不显著
164,50、葡萄一小串。,卡方检验（期望频数较低）,5.6412155012859175,0.6873492907296421,8,inf,大,不显著
165,30、我感觉容易衰弱或疲倦。,卡方检验,1.4716623768986123,0.6888259111398649,3,inf,大,不显著
166,50、大白菜。,卡方检验（期望频数较低）,5.6067930840291265,0.6911816660710965,8,inf,大,不显著
167,41、你的母亲是否患有或患过下列疾病？—高血压。,卡方检验（期望频数较低）,2.242372574853393,0.6912796832185628,4,inf,大,不显著
168,30、我做噩梦。,卡方检验,1.4553950636611745,0.6926027138451178,3,inf,大,不显著
169,30、我容易入睡，并且一夜睡得很好。,卡方检验,1.4498520559126615,0.6938918499649669,3,inf,大,不显著
170,51、因食物、饮料致腹痛、拉稀、便秘。,卡方检验,1.4293998293584043,0.6986579487733304,3,inf,大,不显著
171,27、第一个孩子出生时年龄是多少？,卡方检验（期望频数较低）,11.734824159066584,0.6989797831455781,15,inf,大,不显著
172,59、你是否经常喝茶？,卡方检验,0.14188709840883754,0.7064121418828386,1,inf,大,不显著
173,50、高笋。,卡方检验（期望频数较低）,5.4665540857491335,0.7067426384065914,8,inf,大,不显著
174,50、桃子。,卡方检验（期望频数较低）,5.402544469530114,0.7138116691688489,8,inf,大,不显著
175,51、大便失禁。,卡方检验,1.3614715271341769,0.7145903399824096,3,inf,大,不显著
176,20、是否经常吃火锅？,卡方检验（期望频数较低）,0.6705198149048415,0.7151521888120411,2,inf,大,不显著
177,50、西瓜或香瓜，或甜瓜。,卡方检验（期望频数较低）,5.314240751934168,0.7235220651447933,8,inf,大,不显著
178,50、木瓜。,卡方检验（期望频数较低）,5.267240810719072,0.7286684429528305,8,inf,大,不显著
179,50、小米，（一中碗。）,卡方检验（期望频数较低）,5.159673748190494,0.7403816481299721,8,inf,大,不显著
180,50、李子。,卡方检验（期望频数较低）,5.150148854467792,0.7414141184014493,8,inf,大,不显著
181,50、含咖啡和糖的非碳酸饮料。（如雀巢咖啡一瓶330毫升。）,卡方检验（期望频数较低）,5.138012780869921,0.7427284564404395,8,inf,大,不显著
182,50、切面包一片。,卡方检验（期望频数较低）,5.117494036620177,0.744947585814918,8,inf,大,不显著
183,51、拉稀,卡方检验,1.201716070765564,0.7525927564827259,3,inf,大,不显著
184,50、奶粉 （一大匙。）,卡方检验（期望频数较低）,5.044307544307544,0.7528301549020393,8,inf,大,不显著
185,24、你近半年有没有经常口服或注射某种药物？,卡方检验,0.09680623177555696,0.7556964753861164,1,inf,大,不显著
186,50、巧克力一块。,卡方检验（期望频数较低）,4.932454102362423,0.7647705534680852,8,inf,大,不显著
187,31、疼痛不适。,卡方检验（期望频数较低）,1.1397602997321117,0.7674854818916764,3,inf,大,不显著
188,50、鸡肉，鸭肉 （一份。）,卡方检验（期望频数较低）,4.846512921240477,0.7738480510282518,8,inf,大,不显著
189,50、苹果。,卡方检验（期望频数较低）,4.798507581987543,0.778878864733457,8,inf,大,不显著
190,50、罐罐茶,卡方检验（期望频数较低）,4.766089877379887,0.7822591703745625,8,inf,大,不显著
191,8、你有几个孩子？,卡方检验（期望频数较低）,3.184093184093185,0.785411810493916,6,inf,大,不显著
192,42、脑梗。,卡方检验（期望频数较低）,0.4618256821646652,0.793808650522991,2,inf,大,不显著
193,50、香肠、腊肠、火腿肠等。,卡方检验（期望频数较低）,4.6499104241039735,0.7942544340054746,8,inf,大,不显著
194,50、海水鱼。（一块。）,卡方检验（期望频数较低）,4.606212839305595,0.7987151924611896,8,inf,大,不显著
195,48、花生酱。,卡方检验（期望频数较低）,4.587839881215433,0.8005820299689649,8,inf,大,不显著
196,50、干枣。（一份三个。）,卡方检验（期望频数较低）,4.548017288358707,0.8046101249945751,8,inf,大,不显著
197,50、木耳。（泡。）,卡方检验（期望频数较低）,4.511592839461692,0.8082721621455379,8,inf,大,不显著
198,51、突然有便意，需紧急去厕所。,卡方检验,0.9377856686694819,0.81630099259909,3,inf,大,不显著
199,50、黄瓜，茄子，苦瓜，丝瓜。（一根。）,卡方检验（期望频数较低）,4.389594692624995,0.8203744946296196,8,inf,大,不显著
200,50、豆角，豇豆，四季豆。,卡方检验（期望频数较低）,4.367167307878771,0.8225708043609229,8,inf,大,不显著
201,42、高脂血症,卡方检验,0.3835624396372058,0.8254874490310805,2,inf,大,不显著
202,26、你第一次来月经的年龄是？,卡方检验（期望频数较低）,6.632453103041337,0.8280196222043145,11,inf,大,不显著
203,50、哈密瓜。,卡方检验（期望频数较低）,4.145081410677034,0.8438021086870082,8,inf,大,不显著
204,31、咳嗽或鼾声高。,卡方检验,0.791381594427003,0.8515273125084621,3,inf,大,不显著
205,30、我呼气，吸气都感到很容易。,卡方检验,0.7772363549035752,0.8549036866028872,3,inf,大,不显著
206,48、番茄酱。,卡方检验（期望频数较低）,3.8626985662558786,0.8692938501204119,8,inf,大,不显著
207,30、因为一阵阵头晕而苦恼。,卡方检验,0.700657367324034,0.8730493187325713,3,inf,大,不显著
208,55、截至目前，你是否吸过烟？（指每天至少吸一支，或连续吸烟六个月以上。）,卡方检验,0.02405002405002405,0.8767576959022763,1,inf,大,不显著
209,31、其他影响睡眠的事。,卡方检验,0.5848476436711718,0.8998922281298251,3,inf,大,不显著
210,48、醋,卡方检验,3.4657527480493995,0.901831263140938,8,inf,大,不显著
211,50、小青菜。,卡方检验（期望频数较低）,3.447072991665023,0.9032582683768797,8,inf,大,不显著
212,61、你经常进行体育锻炼吗？,卡方检验,0.19626586790765907,0.9065283873409489,2,inf,大,不显著
213,50、竹笋。,卡方检验（期望频数较低）,3.343434343434344,0.9109953154696568,8,inf,大,不显著
214,50、蛋糕一块。,卡方检验（期望频数较低）,3.3360863869338444,0.9115321264692531,8,inf,大,不显著
215,50、奶茶，（一中杯。）,卡方检验（期望频数较低）,3.31292725232119,0.9132137324070883,8,inf,大,不显著
216,31、近一个月因下列情况影响睡眠而烦恼。—入睡困难，30分钟内不能入睡。,卡方检验,0.4494605989001997,0.9298458170906638,3,inf,大,不显著
217,50、梨,卡方检验（期望频数较低）,3.0631480906269415,0.930332328296429,8,inf,大,不显著
218,30、我因为胃痛和消化不良而苦恼。,卡方检验,0.4317677018628738,0.9336046046584036,3,inf,大,不显著
219,50、菜花。,卡方检验（期望频数较低）,2.9268592001511258,0.9388632645466524,8,inf,大,不显著
220,50、梆梆面,卡方检验（期望频数较低）,2.8457422364671094,0.9436617558636554,8,inf,大,不显著
221,50、莴笋叶，生菜。,卡方检验（期望频数较低）,2.805739831399989,0.9459505584285812,8,inf,大,不显著
222,50、麻辣鸡,卡方检验（期望频数较低）,2.7838610191551383,0.9471806040808148,8,inf,大,不显著
223,50、豆腐丝，豆腐皮，豆腐干，腐竹。,卡方检验（期望频数较低）,2.5503832897531535,0.9593400531830355,8,inf,大,不显著
224,50、红薯。（一个。）,卡方检验（期望频数较低）,2.5381887008210255,0.9599263385088816,8,inf,大,不显著
225,50、根面角,卡方检验（期望频数较低）,2.3532262241939663,0.9682241527979986,8,inf,大,不显著
226,50、瓜子。（一把。）,卡方检验（期望频数较低）,2.2975474201084642,0.9705042683241298,8,inf,大,不显著
227,13、您家里饮食用水常来自于哪里？,卡方检验（期望频数较低）,13.879907088302888,0.9745487643217728,26,inf,大,不显著
228,50、柿子。,卡方检验（期望频数较低）,1.8687340255967717,0.9847749751554754,8,inf,大,不显著
229,50、含咖啡因的低糖饮料 （无糖可乐、一瓶330毫升。）,卡方检验（期望频数较低）,1.0096067314334287,0.9981869499583066,8,inf,大,不显著
230,53、排便是否定时？,卡方检验,0.0,1.0,1,,小,不显著
